review_id,user_id,entity_id,rating,credibility,recency_weight,text_quality_score
r000000,u00025,e021,4,0.9541187656568476,0.780923684330654,0.7691441211932519
r000001,u00007,e020,4,0.5452814616057088,0.7855195606147675,0.7992034194440506
r000002,u00019,e001,3,0.7790708453017986,0.695802833265454,0.5221608254973289
r000003,u00027,e003,3,0.9285279421535052,0.4294007127417436,0.453673316041636
r000004,u00027,e009,3,0.7734659735431445,0.5560511945036397,0.5602988267836151
r000005,u00057,e010,3,0.8871093179116236,0.849091838150487,0.5696778814863452
r000006,u00025,e006,4,0.7962614442204315,0.7479616447887895,0.7917436237808485
r000007,u00027,e004,5,0.9070825179976284,0.8211342895932195,0.8462221618112175
r000008,u00074,e011,3,0.9586251872617496,0.7739108647925332,0.5062730965307856
r000009,u00042,e009,3,0.6545793793885042,0.7342489167740037,0.4587051175662113
r000010,u00033,e029,4,0.6338911756391555,0.845286078602401,0.8559856777143878
r000011,u00001,e005,4,0.6949444015886381,0.6756108987291174,0.7948419164553436
r000012,u00076,e001,4,0.8984508996078466,0.51697345878897,0.8029378804752096
r000013,u00060,e002,3,0.9621905163463984,0.9663267280390476,0.5584357645209675
r000014,u00075,e022,4,0.8616295800183539,0.865197175074649,0.8330885637527577
r000015,u00059,e005,5,0.7295374965587009,0.9043037493611892,0.8560827468771651
r000016,u00028,e022,2,0.8816408173688662,0.7072913192440311,0.1522476784513703
r000017,u00034,e014,3,0.9542585943965176,0.5467736099317052,0.49800495383053694
r000018,u00066,e016,2,0.7247660714507895,0.681421424182887,0.1457408266429821
r000019,u00038,e029,2,0.8061739667667698,0.7910188626879957,0.16463492759804868
r000020,u00017,e028,2,0.4297908352151935,0.6018812693825412,0.17861672877524784
r000021,u00054,e004,4,0.8287648802590047,0.6179065922674154,0.8754442488254328
r000022,u00039,e007,2,0.7733641147135034,0.7931320309122039,0.23753906460908364
r000023,u00041,e022,4,0.9407137130403512,0.8413151567337374,0.8423571776876421
r000024,u00020,e023,4,0.8419554269861689,0.6147506758378997,0.7961517087291166
r000025,u00078,e013,4,0.6578371674816512,0.6851484752415115,0.853134624784436
r000026,u00063,e015,1,0.8828837133876424,0.8096634269223556,0.20710188456174028
r000027,u00067,e007,3,0.98368634297947,0.7832052099763616,0.4750285858811991
r000028,u00073,e028,4,0.8998267408165973,0.7465082702922529,0.7922770356752591
r000029,u00058,e000,4,0.5785795074894887,0.4967559597545104,0.8783911638323196
r000030,u00030,e028,2,0.8596236591933344,0.6510401611678602,0.1466239424066814
r000031,u00011,e027,3,0.7224595762105888,0.9497805946301616,0.5488342581440919
r000032,u00079,e008,3,0.8427559665017721,0.8394582571510265,0.6072015679224677
r000033,u00045,e006,3,0.9358398721993012,0.8860201056088294,0.47566260281576705
r000034,u00075,e003,5,0.953681243535526,0.6724728360962009,0.8061750266149315
r000035,u00077,e002,3,0.8851426152558207,0.7504529859192278,0.5397526595808583
r000036,u00015,e008,4,0.7102517031285328,0.7751654088697363,0.8059503173572217
r000037,u00046,e011,5,0.7347403186996013,0.846330301953247,0.8126319651167799
r000038,u00070,e008,3,0.6169826028993729,0.621070727050152,0.6244529180821015
r000039,u00025,e003,4,0.8732256613138509,0.8486370622948224,0.8057038110416862
r000040,u00076,e010,4,0.6975689825477014,0.655696688824658,0.8118555592675958
r000041,u00003,e028,4,0.7424377584087224,0.6750775938414061,0.8273349168001882
r000042,u00056,e022,2,0.8957749516084954,0.92932999648139,0.14352979547967187
r000043,u00027,e026,4,0.7299738263276125,0.8880183920039839,0.8248153568116633
r000044,u00025,e000,5,0.8836193742123934,0.7567701469740593,0.7856136543214253
r000045,u00039,e009,2,0.8638082888793721,0.8328777366873392,0.3153293725956734
r000046,u00023,e003,5,0.766804930534803,0.6812153398364962,0.835177232419312
r000047,u00078,e023,4,0.9251957761967128,0.6981804901177945,0.8357794402068287
r000048,u00018,e005,3,0.8437919849800665,0.7234523462075868,0.4751740780701356
r000049,u00028,e020,5,0.898821216006427,0.8386429812728162,0.8252462006886108
r000050,u00031,e004,5,0.7659315487645756,0.8360518529777325,0.8271052920665345
r000051,u00058,e019,2,0.7372318432769387,0.8256718357295563,0.16706038700495524
r000052,u00072,e011,4,0.9343028876974132,0.5617368613652118,0.8173570297651381
r000053,u00047,e012,4,0.596800954524705,0.6866698432786038,0.8046783939825682
r000054,u00006,e029,4,0.9520230663768346,0.8618906981963166,0.7956860266320369
r000055,u00023,e029,5,0.8511107572897006,0.8551156980863134,0.8162659133862655
r000056,u00021,e004,4,0.8344324603368389,0.6559568886449617,0.6993888663423851
r000057,u00061,e012,5,0.77407786212563,0.6739650168459687,0.7330095193619436
r000058,u00031,e011,5,0.8953410084283534,0.9034273642740857,0.8067363122022682
r000059,u00005,e002,3,0.913403247379015,0.7972899558009484,0.4547901872145356
r000060,u00014,e004,4,0.7324774676104383,0.5335221806385361,0.8468097483422564
r000061,u00002,e019,3,0.7797009148897713,0.6064671952218605,0.51551032643923
r000062,u00023,e027,4,0.8284755987552315,0.7167713230731286,0.6814766833284178
r000063,u00068,e012,2,0.8462800868603962,0.9709635499662695,0.31761439542143566
r000064,u00071,e010,3,0.6147304668637559,0.8955294077864513,0.5587209536639794
r000065,u00027,e009,4,0.7551487823151073,0.6518850559404654,0.8426490415843413
r000066,u00066,e010,5,0.8464030498550867,0.6917905595505894,0.8759948122296228
r000067,u00010,e023,5,0.8868523572035307,0.6547555032522202,0.8083793175145542
r000068,u00048,e016,2,0.7704106045210299,0.8588811464981528,0.1483964388755728
r000069,u00026,e014,3,0.7162750483766529,0.9641947376285416,0.5548144263036916
r000070,u00033,e024,5,0.7384156391669809,0.6522300957093152,0.7991814927518397
r000071,u00039,e026,2,0.887345331569794,0.7808110078596154,0.14621431001141616
r000072,u00033,e014,3,0.8970581827382754,0.8631475812527402,0.5999776571587602
r000073,u00070,e015,4,0.7837813683607645,0.4979708091975232,0.7920455308299795
r000074,u00018,e006,5,0.8694141162751955,0.7941748607161139,0.8109838069074491
r000075,u00047,e012,5,0.8940574534127801,0.6639209799440543,0.8171999098658458
